Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,,,,
EASY,Is Subsequence,48,0.482086712,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming",,,,
MEDIUM,Koko Eating Bananas,48,0.488238641,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",,,,
MEDIUM,Unique Paths,48,0.654033312,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics",,,,
EASY,Sort Array by Increasing Frequency,48,0.800880177,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting",,,,
MEDIUM,Edit Distance,48,0.581900401,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",,,,
MEDIUM,Peak Index in a Mountain Array,48,0.677730805,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search",,,,
HARD,Median of Two Sorted Arrays,48,0.429393848,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",,,,
EASY,Perfect Number,48,0.439526067,https://leetcode.com/problems/perfect-number,Math,,,,
EASY,Contains Duplicate,48,0.628169721,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",,,,
EASY,Sqrt(x),48,0.400270905,https://leetcode.com/problems/sqrtx,"Math, Binary Search",,,,
EASY,Max Consecutive Ones,48,0.61770427,https://leetcode.com/problems/max-consecutive-ones,Array,,,,
EASY,Remove Element,48,0.594380061,https://leetcode.com/problems/remove-element,"Array, Two Pointers",,,,
MEDIUM,Rotate Image,48,0.77170782,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",,,,
MEDIUM,Count Primes,48,0.34430421,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory",,,,
MEDIUM,Merge Intervals,48,0.488065364,https://leetcode.com/problems/merge-intervals,"Array, Sorting",,,,
MEDIUM,Second Highest Salary,48,0.429768662,https://leetcode.com/problems/second-highest-salary,Database,,,,
MEDIUM,Find First and Last Position of Element in Sorted Array,48,0.461497364,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",,,,
EASY,Find the Index of the First Occurrence in a String,48,0.444636098,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",,,,
MEDIUM,Majority Element II,38.5,0.536895199,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting",,,,
EASY,Reverse Linked List,38.5,0.78650038,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",,,,
MEDIUM,Next Permutation,38.5,0.423240662,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",,,,
MEDIUM,Integer to Roman,38.5,0.678581939,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",,,,
MEDIUM,Daily Temperatures,38.5,0.669687542,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",,,,
EASY,Count Operations to Obtain Zero,38.5,0.746946617,https://leetcode.com/problems/count-operations-to-obtain-zero,"Math, Simulation",,,,
EASY,Average Value of Even Numbers That Are Divisible by Three,38.5,0.613330679,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math",,,,
MEDIUM,Single Number II,38.5,0.646674486,https://leetcode.com/problems/single-number-ii,"Array, Bit Manipulation",,,,
MEDIUM,Search a 2D Matrix,38.5,0.517772407,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",,,,
EASY,Count Pairs Whose Sum is Less than Target,38.5,0.875635905,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target,"Array, Two Pointers, Binary Search, Sorting",,,,
HARD,Integer to English Words,38.5,0.342597369,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion",,,,
EASY,Min Cost Climbing Stairs,38.5,0.668074846,https://leetcode.com/problems/min-cost-climbing-stairs,"Array, Dynamic Programming",,,,
EASY,Intersection of Two Linked Lists,38.5,0.602597217,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers",,,,
EASY,Make The String Great,38.5,0.682495292,https://leetcode.com/problems/make-the-string-great,"String, Stack",,,,
EASY,Maximum Depth of Binary Tree,38.5,0.767547979,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",,,,
EASY,Remove Duplicates from Sorted List,38.5,0.543598339,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List,,,,
EASY,Excel Sheet Column Title,38.5,0.428544313,https://leetcode.com/problems/excel-sheet-column-title,"Math, String",,,,
MEDIUM,Find Original Array From Doubled Array,38.5,0.405117975,https://leetcode.com/problems/find-original-array-from-doubled-array,"Array, Hash Table, Greedy, Sorting",,,,
MEDIUM,"Pow(x, n)",38.5,0.36477387,https://leetcode.com/problems/powx-n,"Math, Recursion",,,,
EASY,N-th Tribonacci Number,38.5,0.636460739,https://leetcode.com/problems/n-th-tribonacci-number,"Math, Dynamic Programming, Memoization",,,,
MEDIUM,Basic Calculator II,38.5,0.452573369,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",,,,
MEDIUM,Group Anagrams,38.5,0.703370005,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",,,,
EASY,Number of Days Between Two Dates,38.5,0.51062293,https://leetcode.com/problems/number-of-days-between-two-dates,"Math, String",,,,
MEDIUM,Ugly Number II,38.5,0.491845199,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)",,,,
EASY,Strong Password Checker II,38.5,0.54940113,https://leetcode.com/problems/strong-password-checker-ii,String,,,,
EASY,How Many Numbers Are Smaller Than the Current Number,38.5,0.870975536,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,"Array, Hash Table, Sorting, Counting Sort",,,,
EASY,Running Sum of 1d Array,38.5,0.869397745,https://leetcode.com/problems/running-sum-of-1d-array,"Array, Prefix Sum",,,,
MEDIUM,Palindromic Substrings,38.5,0.712686062,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming",,,,
HARD,Candy,38.5,0.443840847,https://leetcode.com/problems/candy,"Array, Greedy",,,,
MEDIUM,Boats to Save People,38.5,0.599422634,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting",,,,
EASY,Truncate Sentence,38.5,0.859065823,https://leetcode.com/problems/truncate-sentence,"Array, String",,,,
EASY,Substrings of Size Three with Distinct Characters,38.5,0.750192907,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Hash Table, String, Sliding Window, Counting",,,,
EASY,Binary Search,38.5,0.591425259,https://leetcode.com/problems/binary-search,"Array, Binary Search",,,,
MEDIUM,Kth Largest Element in an Array,38.5,0.67620393,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",,,,
