Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
MEDIUM,3Sum,67.5,0.364230562,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",
MEDIUM,All Nodes Distance K in Binary Tree,67.5,0.658573637,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",
HARD,Median of Two Sorted Arrays,63.8,0.429393542,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",
MEDIUM,Combination Sum,63.8,0.739312885,https://leetcode.com/problems/combination-sum,"Array, Backtracking",
MEDIUM,Rotate Array,63.8,0.424612441,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",
EASY,Move Zeroes,63.8,0.62544443,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",
EASY,Degree of an Array,63.8,0.571391946,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table",
HARD,First Missing Positive,63.8,0.406343248,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",
MEDIUM,Maximum Subarray,63.8,0.517337168,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",
EASY,Add Binary,63.8,0.551921295,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation",
HARD,LFU Cache,59.5,0.458472507,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",
MEDIUM,Search a 2D Matrix,59.5,0.517772303,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",
MEDIUM,House Robber,59.5,0.519882943,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",
MEDIUM,"Pow(x, n)",59.5,0.364773665,https://leetcode.com/problems/powx-n,"Math, Recursion",
MEDIUM,Generate Parentheses,59.5,0.765298611,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",
MEDIUM,Copy List with Random Pointer,59.5,0.595040667,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",
MEDIUM,Top K Frequent Elements,59.5,0.640802365,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",
MEDIUM,Flatten Nested List Iterator,59.5,0.65159365,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",
MEDIUM,Daily Temperatures,59.5,0.669687552,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",
MEDIUM,Binary Tree Zigzag Level Order Traversal,59.5,0.610093546,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",
MEDIUM,Subarray Sum Equals K,54.1,0.449313149,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",
MEDIUM,Maximal Square,54.1,0.482278949,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix",
EASY,Squares of a Sorted Array,54.1,0.73093199,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting",
HARD,Merge k Sorted Lists,54.1,0.55795291,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",
EASY,Longest Common Prefix,54.1,0.448879143,https://leetcode.com/problems/longest-common-prefix,"String, Trie",
MEDIUM,Word Search,54.1,0.44626203,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",
MEDIUM,Decode String,54.1,0.606866063,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",
MEDIUM,Keys and Rooms,54.1,0.74246677,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph",
MEDIUM,Binary Tree Right Side View,54.1,0.65635615,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",
HARD,Reverse Nodes in k-Group,54.1,0.620462657,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",
MEDIUM,Course Schedule II,54.1,0.52630158,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",
MEDIUM,Maximum Profit From Trading Stocks,47.3,0.463439871,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming",
MEDIUM,Koko Eating Bananas,47.3,0.488238606,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",
EASY,First Unique Character in a String,47.3,0.632265107,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting",
MEDIUM,Partition Equal Subset Sum,47.3,0.472005567,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming",
MEDIUM,Boundary of Binary Tree,47.3,0.467871197,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree",
MEDIUM,Container With Most Water,47.3,0.571734846,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",
MEDIUM,Flatten Deeply Nested Array,47.3,0.639176275,https://leetcode.com/problems/flatten-deeply-nested-array,,
MEDIUM,Minimum Add to Make Parentheses Valid,47.3,0.746990748,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy",
MEDIUM,Coin Change,47.3,0.458132251,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",
MEDIUM,Course Schedule,47.3,0.484767634,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",
MEDIUM,Max Consecutive Ones III,47.3,0.652246019,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum",
MEDIUM,Jump Game II,47.3,0.411384823,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",
HARD,Minimum Window Substring,47.3,0.446649262,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",
EASY,Merge Two Sorted Lists,47.3,0.662894923,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",
HARD,Wildcard Matching,47.3,0.293644876,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion",
MEDIUM,Longest Consecutive Sequence,47.3,0.471907117,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",
MEDIUM,Best Time to Buy and Sell Stock II,47.3,0.688563622,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",
MEDIUM,Min Stack,47.3,0.559151313,https://leetcode.com/problems/min-stack,"Stack, Design",
MEDIUM,Decode Ways,47.3,0.361050351,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",
MEDIUM,Interleaving String,47.3,0.413953127,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming",
MEDIUM,Path Sum II,37.8,0.600487109,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree",
EASY,Palindrome Number,37.8,0.586535948,https://leetcode.com/problems/palindrome-number,Math,
MEDIUM,Populating Next Right Pointers in Each Node,37.8,0.648402055,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",
EASY,Merge Sorted Array,37.8,0.522568401,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",
MEDIUM,Reorganize String,37.8,0.557836781,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",
HARD,Largest Rectangle in Histogram,37.8,0.465995197,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",
MEDIUM,Boats to Save People,37.8,0.599422634,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting",
MEDIUM,Fruit Into Baskets,37.8,0.455996022,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window",
MEDIUM,Populating Next Right Pointers in Each Node II,37.8,0.548507686,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",
MEDIUM,Perfect Squares,37.8,0.554348246,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search",
EASY,Valid Palindrome II,37.8,0.424764791,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy",
MEDIUM,Binary Tree Longest Consecutive Sequence,37.8,0.539931399,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,"Tree, Depth-First Search, Binary Tree",
EASY,Reverse Words in a String III,37.8,0.835306373,https://leetcode.com/problems/reverse-words-in-a-string-iii,"Two Pointers, String",
MEDIUM,Palindrome Partitioning,37.8,0.713838705,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking",
HARD,Maximum Number of Non-overlapping Palindrome Substrings,37.8,0.412490825,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Two Pointers, String, Dynamic Programming, Greedy",
EASY,Linked List Cycle,37.8,0.519722692,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers",
MEDIUM,Reverse Words in a String,37.8,0.50066452,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",
MEDIUM,Add Two Numbers,37.8,0.454396772,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",
EASY,Longest Palindrome,37.8,0.554558514,https://leetcode.com/problems/longest-palindrome,"Hash Table, String, Greedy",
MEDIUM,Second Highest Salary,37.8,0.429769066,https://leetcode.com/problems/second-highest-salary,Database,
MEDIUM,Count Primes,37.8,0.344304327,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory",
MEDIUM,Product of Array Except Self,37.8,0.673835173,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",
EASY,Valid Anagram,37.8,0.661504491,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",
HARD,Binary Tree Maximum Path Sum,37.8,0.409045289,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",
